57;Phelps;Aarav;1996-12-20;2019;aaravphelps@student.fantys.nl;F;NEW
58;Christensen;Jakob;1996-10-13;2019;jakobchristensen@student.fantys.nl;M;NEW
59;Janssen;Sonny;1997-05-05;2019;sonnyjanssen@student.fantys.nl;M;NEW
60;Manning;Seth;1996-11-12;2019;sethmanning@student.fantys.nl;M;NEW
61;Shields;Geovanni;1998-07-07;2019;geovannishields@student.fantys.nl;M;NEW
62;Sweeney;Cory;1997-08-15;2019;corysweeney@student.fantys.nl;F;NEW
63;Schuster;Eddie;1995-03-11;2019;eddieschuster@student.fantys.nl;F;NEW
64;Reynolds;Diego;1999-11-18;2019;diegoreynolds@student.fantys.nl;M;NEW
65;Meijer;Tristian;1997-12-24;2019;tristianmeijer@student.fantys.nl;F;NEW
66;Donaldson;Agustin;1999-11-25;2019;agustindonaldson@student.fantys.nl;F;NEW
67;Durham;Geovanni;2001-03-03;2019;geovannidurham@student.fantys.nl;F;NEW
68;Benson;Brenton;1997-03-06;2019;brentonbenson@student.fantys.nl;M;NEW
69;Schuster;Jeremiah;1994-06-09;2019;jeremiahschuster@student.fantys.nl;M;NEW
70;Mayer;Joaquin;1997-03-15;2019;joaquinmayer@student.fantys.nl;F;NEW
71;Bolton;Korbin;1997-08-19;2019;korbinbolton@student.fantys.nl;F;NEW
72;Richmond;Marc;1998-01-20;2019;marcrichmond@student.fantys.nl;F;NEW
73;Gallegos;Josiah;1997-01-27;2019;josiahgallegos@student.fantys.nl;M;NEW
74;Sweeney;Brenton;1994-07-31;2019;brentonsweeney@student.fantys.nl;M;NEW
75;Wong;Jace;2000-10-24;2019;jacewong@student.fantys.nl;F;NEW
76;Rice;Avery;1995-01-25;2019;averyrice@student.fantys.nl;F;NEW
77;Manning;Colton;1997-07-06;2019;coltonmanning@student.fantys.nl;F;NEW
78;Sawyer;Jermaine;1998-03-13;2019;jermainesawyer@student.fantys.nl;F;NEW
79;Zavala;Malaki;2000-09-06;2019;malakizavala@student.fantys.nl;M;NEW
80;Barrera;Luciano;1994-09-05;2019;lucianobarrera@student.fantys.nl;F;NEW
81;Zhang;Korbin;1999-01-18;2019;korbinzhang@student.fantys.nl;F;NEW
82;Kennedy;Wayne;1999-06-25;2019;waynekennedy@student.fantys.nl;F;NEW
83;Hobbs;Elias;1997-01-16;2019;eliashobbs@student.fantys.nl;F;NEW
84;Mcintyre;Evan;1998-06-01;2019;evanmcintyre@student.fantys.nl;F;NEW
85;Robles;Nigel;2000-05-19;2019;nigelrobles@student.fantys.nl;M;NEW
86;Benson;Agustin;1996-12-28;2019;agustinbenson@student.fantys.nl;F;NEW
87;Griffith;Zachery;1997-07-29;2019;zacherygriffith@student.fantys.nl;F;NEW
88;Mcintosh;Wayne;1998-10-02;2019;waynemcintosh@student.fantys.nl;F;NEW
89;Smith;Jeremiah;1994-12-31;2019;jeremiahsmith@student.fantys.nl;M;NEW
90;Phelps;Malaki;1997-02-20;2019;malakiphelps@student.fantys.nl;M;NEW
91;Manning;Josiah;2000-04-24;2019;josiahmanning@student.fantys.nl;M;NEW
92;Bradford;Jakob;1997-05-04;2019;jakobbradford@student.fantys.nl;F;NEW
93;Meijer;Evan;1999-06-26;2019;evanmeijer@student.fantys.nl;F;NEW
94;Shields;Luciano;1999-11-21;2019;lucianoshields@student.fantys.nl;F;NEW
95;Schuster;Arnav;1999-09-06;2019;arnavschuster@student.fantys.nl;F;NEW
96;Simon;Stanley;1995-02-19;2019;stanleysimon@student.fantys.nl;F;NEW
97;Reynolds;Skylar;1999-08-23;2019;skylarreynolds@student.fantys.nl;M;NEW
98;Dixon;Alexzander;1999-06-10;2019;alexzanderdixon@student.fantys.nl;M;NEW
99;Mosley;Solomon;1999-05-13;2019;solomonmosley@student.fantys.nl;M;NEW
100;Durham;Joshua;1995-03-01;2019;joshuadurham@student.fantys.nl;M;NEW
